word,translation,tag
right-hand side,右手,cedict
right-hand side  of a vehicle,外手,cedict
right-pointing arrow,右箭头,cedict
righteous anger,义怒,cedict
righteous indignation,义愤,cedict
righteous man,义人,cedict
righteous struggle,正义斗争,cedict
righteousness and justice,道义,cedict
rightful owner,正主,cedict
rightist deviation,右倾,cedict
rights and benefits,权益,cedict
rights to a trademark,名称权,cedict
rigid body,刚体,cedict
rigid conventions,老框框,cedict
rigid frame,刚架,cedict
rigor mortis,尸僵,cedict
rigorous isolation,严格隔离,cedict
rim of the eye,眼圈,cedict
rime dictionary,韵书,cedict
ring around the moon,月晕,cedict
ring configuration,环形结构,cedict
ring finger,无名指,cedict
ring of fire,火环,cedict
ring road,环形公路,cedict
ring surface,环面,cedict
ring toss,套圈,cedict
ring-like jade belt pendant,佩环,cedict
ring-shaped door handle,拉环,cedict
ring-shaped mountain,环形山,cedict
ringback tone,来电答铃,cedict
rinsing machine,洗涤机,cedict
rio de janeiro,里约热内卢,cedict
rio tinto,力拓,cedict
riot control,防暴,cedict
riot police,特种警察,cedict
riot shield,防暴盾,cedict
riot squad,防暴警察,cedict
ripening in autumn,秋熟,cedict
ripping of fabric,嚓嚓,cedict
ripple effect,骨牌效应,cedict
rise and fall,低昂,cedict
rise of water level,涨水,cedict
rise or fall in price,涨跌,cedict
rise steeply,壁立,cedict
rising and falling,升降,cedict
rising in spirals,袅袅,cedict
rising intonation,升调,cedict
rising prices,升市,cedict
rising star,小将,cedict
rising tide,来潮,cedict
rising tone,升调,cedict
rising trend,涨势,cedict
risk control,风控,cedict
risk management,风险管理,cedict
risk to one's life,生命危险,cedict
risky conditions,险境,cedict
rites and music,礼乐,cedict
ritual dishes,祭器,cedict
rival in love,情敌,cedict
rival product,竞品,cedict
rival productions,敌档,cedict
river bank,江边,cedict
river basin,流域,cedict
river bed,河槽,cedict
river bend,河套,cedict
river blindness,河盲症,cedict
river channel,河道,cedict
river conservancy worker,河工,cedict
river conservancy works,河工,cedict
river course,河道,cedict
river crab,河蟹,cedict
river dolphin,江豚,cedict
river draining to inland sea,内陆河,cedict
river flow,江流,cedict
river god,水神,cedict
river in henan,洧水,cedict
river island,河心岛,cedict
river lapwing,距翅麦鸡,cedict
river mouth,河叉,cedict
river plain,河畔,cedict
river port,河港,cedict
river sand,河沙,cedict
river snail,田螺,cedict
river source,江源,cedict
river steamer,江轮,cedict
river tern,黄嘴河燕鸥,cedict
river thames,泰晤士河,cedict
river tracing,溯溪,cedict
river transport,河运,cedict
river valley,河谷,cedict
river water,江水,cedict
rivers and canals,河渠,cedict
rivers and lakes,江湖,cedict
rivers and mountains,江山,cedict
rivers of blood,血流成河,cedict
rivet gun,铆钉枪,cedict
riveted joint,铆接,cedict
road bridge,路桥,cedict
road closure,封路,cedict
road condition,路况,cedict
road construction,道路工程,cedict
road curve,弯道,cedict
road direction,路向,cedict
road grader,平地机,cedict
road hub,要冲,cedict
road maintenance tax,养路费,cedict
road network,公路网,cedict
road or railway administration,路政,cedict
road race,公路赛,cedict
road rage,路怒症,cedict
road roller,压路机,cedict
road show or promotional tour,路演,cedict
road sign,路标,cedict
road surface,路面,cedict
road tax,路税,cedict
road to ruin,死路一条,cedict
road traffic policing,交通警卫,cedict
road traffic safety,交安,cedict
roadside banquet,办桌,cedict
roadside stall,地摊,cedict
roar of the wind,唿喇喇,cedict
roaring drunk,撒酒疯,cedict
roaring sea,波涛汹涌,cedict
roast chicken,烤鸡,cedict
roast duck,烤鸭,cedict
roasted snacks,炒货,cedict
rob peter to pay paul,拆东补西,cedict
robber baron,大王,cedict
robe of a buddhist priest,法衣,cedict
robin accentor,鸲岩鹨,cedict
robin hood,罗宾汉,cedict
robinia pseudoacacia,刺槐,cedict
robot vacuum,扫地机器人,cedict
robotic arm,机械臂,cedict
rock 'n roll,摇滚乐,cedict
rock 'n' roll,摇滚,cedict
rock bunting,淡灰眉岩鹀,cedict
rock candy,冰糖,cedict
rock carving,崖刻,cedict
rock cave,石窟,cedict
rock climbing,攀岩,cedict
rock crystal,白水晶,cedict
rock debris from glacier,冰碛,cedict
rock dove,原鸽,cedict
rock drill,凿岩机,cedict
rock garden,假山,cedict
rock music,摇滚乐,cedict
rock painting,岩画,cedict
rock ptarmigan,岩雷鸟,cedict
rock quarry,凿石场,cedict
rock salt,岩盐,cedict
rock sandpiper,岩滨鹬,cedict
rock sparrow,石雀,cedict
rock strata,岩层,cedict
rock stratum,岩石层,cedict
rock-firm and unyielding,坚如磐石,cedict
rock-forming mineral,造岩矿物,cedict
rock-paper-scissors game,猜拳,cedict
rocker arm,摇臂,cedict
rocket artillery,火箭炮,cedict
rocket fuel,推进剂,cedict
rocket launcher,火箭筒,cedict
rocket-propelled grenade,火箭推进榴弹,cedict
rocketing prices,飞涨,cedict
rocking chair,安乐椅,cedict
rocking horse,木马,cedict
rockman or mega man,洛克人,cedict
rocky mountain,崔嵬,cedict
rocky mountain valley,岩壑,cedict
rocky mountains,洛基山,cedict
rod mill,棒磨机,cedict
rod used for flogging offenders,刑杖,cedict
roe deer,西方狍,cedict
rogowski coil,罗氏线圈,cedict
rogue state,流氓国家,cedict
role-playing game,角色扮演游戏,cedict
roll call,点名,cedict
roll of film,胶卷,cedict
roll of honor,排名榜,cedict
roll sulfur,硫棒,cedict
roll-up banner stand,易拉宝,cedict
rolle's theorem,罗尔定理,cedict
rolled oats,燕麦片,cedict
rolled-up pastry,卷饼,cedict
roller ball pen,签字笔,cedict
roller bearing,滚子轴承,cedict
roller blades,溜冰鞋,cedict
roller blading,溜旱冰,cedict
roller coaster,大起大落,cedict
roller shutter,卷帘,cedict
roller skates,溜冰鞋,cedict
roller skating,旱冰,cedict
rollerball pen,中性笔,cedict
rolling motion,横摇,cedict
rolling pin,擀面杖,cedict
rolling steel,轧制,cedict
rolling stone,滚石,cedict
rolling suitcase,拉杆箱,cedict
rolls of dried soymilk cream,腐竹,cedict
roly-poly toy,不倒翁,cedict
roman alphabet,罗马字母,cedict
roman catholicism,罗马公教,cedict
roman empire,罗马帝国,cedict
roman law,罗马法,cedict
roman letters,罗马字母,cedict
roman nose,鹰钩鼻,cedict
roman numerals,罗马数字,cedict
roman sandals,罗马凉鞋,cedict
roman-style sandals,罗马鞋,cedict
romance film,爱情片,cedict
romance is in the air,风花雪月,cedict
romance language family,罗曼语族,cedict
romance novel,言情小说,cedict
romanian language,罗语,cedict
romantic affair,风流佳话,cedict
romantic comedy,爱情喜剧,cedict
romantic couple's world,二人世界,cedict
romantic fiction,言情小说,cedict
romantic heartbreak,情伤,cedict
romantic love,恋情,cedict
ronald mcdonald,麦当劳叔叔,cedict
roof beam,屋架,cedict
roof fall,冒顶,cedict
roof of the mouth,上膛,cedict
roof plate,顶板,cedict
roof rack,车顶架,cedict
roof ridge,屋脊,cedict
rooftop garden,空中花园,cedict
rooibos tea,南非茶,cedict
room and board,食宿,cedict
room card,房卡,cedict
room charge,房费,cedict
room charge in a hotel,店钱,cedict
room for maneuver,后路,cedict
room in the wings,边厢,cedict
room service,客房服务,cedict
room temperature,室温,cedict
room tiles,屋面瓦,cedict
room to maneuver,恢恢有余,cedict
room with private bathroom,套房,cedict
root beer,根汁汽水,cedict
root canal therapy,根管治疗,cedict
root cause,原因,cedict
root directory,根目录,cedict
root mean square,平方平均数,cedict
root nodule,根瘤,cedict
root of a tooth,齿根,cedict
root of chinese pulsatilla,白头翁,cedict
root of chinese thorowax,柴胡,cedict
root of chord,根音,cedict
root of dahurian angelica,白芷,cedict
root of isatis tinctoria,板蓝根,cedict
root of ningpo figwort,玄参,cedict
root of the nose,山根,cedict
root of the trouble,祸根,cedict
root of tooth,牙根,cedict
root of unity,单位根,cedict
root of vladimiria souliei,川木香,cedict
root stock,根状茎,cedict
root system,根系,cedict
root tuber,块根,cedict
rope ladder,软梯,cedict
rope of palm fiber,棕缚,cedict
rosary beads,念珠,cedict
rose acacia,毛洋槐,cedict
rose apple,蒲桃,cedict
rose flower,玫瑰,cedict
rose hip,玫瑰果,cedict
rose moss,太阳花,cedict
rose myrtle,桃金娘,cedict
rose-ringed parakeet,红领绿鹦鹉,cedict
roseate tern,粉红燕鸥,cedict
rosetta stone,罗塞塔石碑,cedict
rosette bok choy,乌塌菜,cedict
ross's gull,楔尾鸥,cedict
rosy cheeks,红颜,cedict
rosy clouds,彩云,cedict
rosy minivet,粉红山椒鸟,cedict
rosy pipit,粉红胸鹨,cedict
rosy starling,粉红椋鸟,cedict
rotary club,扶轮社,cedict
rotary drum,转鼓,cedict
rotary electrical interface,汇流环,cedict
rotary grindstone,转磨,cedict
rotary hammer,电锤,cedict
rotary motion,旋转运动,cedict
rotating appointment,轮任,cedict
rotating dial,滚轮,cedict
rotating disk,转轮,cedict
rotating flow,旋流,cedict
rotating platform,旋转台,cedict
rotating stage,转台,cedict
rotating turret,转塔,cedict
rotation grazing,轮牧,cedict
rotation of crops,倒茬,cedict
rotational angular velocity,旋转角速度,cedict
rotational symmetry,旋转对称,cedict
rote learning,满堂灌,cedict
rotor sail,旋筒风帆,cedict
rotor sluice gate,旋闸,cedict
rotor wing,旋翼,cedict
rotten apple,害群之马,cedict
rotten to the core,烂透,cedict
rotten wood,朽木,cedict
rouge and powder,红粉,cedict
rouge and white lead,朱粉,cedict
rough and ready,克难,cedict
rough and ready outfit,草台班子,cedict
rough collie,苏格兰牧羊犬,cedict
rough cut,粗剪,cedict
rough drawing,草图,cedict
rough endoplasmic reticulum,糙面内质网,cedict
rough estimate,粗估,cedict
rough gentian,龙胆,cedict
rough lumber,毛料,cedict
rough sketch,画稿,cedict
rough straw paper,草纸,cedict
rough-and-ready method,概测法,cedict
rough-legged buzzard,毛腿𫛭,cedict
rough-textured fabric of waste silk,绵绸,cedict
roughly comparable,旗鼓相当,cedict
roughly the same,大差不差,cedict
round and bulging,圆鼓鼓,cedict
round and fat,滚瓜溜圆,cedict
round and plump,滴溜溜,cedict
round dance,圆舞,cedict
round figure,整数,cedict
round flat bread,圆面饼,cedict
round frame of a sieve,罗圈,cedict
round herring,圆腹鲱,cedict
round hole,圆孔,cedict
round neck,圆领,cedict
round silk fan,纨扇,cedict
round table,圆桌,cedict
round table conference,圆桌会议,cedict
round white cabbage,圆白菜,cedict
round window,圆窗,cedict
round-bottomed wicker basket,栲栳,cedict
round-grained nonglutinous rice,粳稻,cedict
round-robin tournament,循环赛,cedict
round-trip flight,双飞,cedict
round-trip ticket,去回票,cedict
roundabout route,弯路,cedict
rounded embroidery design,团花,cedict
roused to warm feelings,热乎乎,cedict
route for providing foodstuff,粮道,cedict
route step,便步走,cedict
routed troops,溃军,cedict
routine business,例行公事,cedict
routing protocol,路由协定,cedict
routing protocols,路由协议,cedict
rove beetle,隐翅虫,cedict
roving bandit,流寇,cedict
row house,排屋,cedict
row spacing,行距,cedict
row upon row,鳞次栉比,cedict
rowan or mountain-ash,山梨,cedict
rowdy jeering,起哄,cedict
rowing boat,划艇,cedict
rowing competition,竞渡,cedict
rowing machine,划船机,cedict
roxanne or roxane or rosanna,罗姗,cedict
royal canadian navy,加拿大皇家海军,cedict
royal caribbean cruise lines,皇家加勒比海游轮公司,cedict
royal crown,冠冕,cedict
royal eagle,狗鹫,cedict
royal family,王室,cedict
royal flush,同花大顺,cedict
royal hong kong police force,皇家香港警察,cedict
royal household,王室,cedict
royal jelly,蜂乳,cedict
royal kin,皇族,cedict
royal navy,皇家海军,cedict
royal poinciana,凤凰木,cedict
royal power,王权,cedict
royal society,英国皇家学会,cedict
royal title,君位,cedict
rpm gauge,转速表,cedict
rt mart,大润发,cedict
rubber ball,橡皮球,cedict
rubber band,橡皮筋,cedict
rubber boots,雨靴,cedict
rubber dinghy,橡皮艇,cedict
rubber or leg,回合,cedict
rubber ring,胶圈,cedict
rubber shoes or boots,胶鞋,cedict
rubber stamp,橡皮图章,cedict
rubber tape,胶布,cedict
rubber tire,胶轮,cedict
rubber tree,橡胶树,cedict
rubberized fabric,胶布,cedict
rubbing of inscription,拓本,cedict
rubbings from a tablet,拓片,cedict
rubbish bin,垃圾桶,cedict
rubbish can,垃圾箱,cedict
rubik's cube,魔方,cedict
ruby-cheeked sunbird,紫颊直嘴太阳鸟,cedict
ruddy kingfisher,赤翡翠,cedict
ruddy shelduck,赤麻鸭,cedict
ruddy turnstone,翻石鹬,cedict
ruddy-breasted crake,红胸田鸡,cedict
rude and forthright,火辣,cedict
rude and unreasonable,蛮横,cedict
rude and violent,蛮悍,cedict
rude words,粗语,cedict
rufescent prinia,暗冕鹪莺,cedict
rufous hawk-cuckoo,北鹰鹃,cedict
rufous sibia,黑顶奇鹛,cedict
rufous treepie,棕腹树鹊,cedict
rufous woodpecker,栗啄木鸟,cedict
rufous-backed sibia,栗背奇鹛,cedict
rufous-bellied eagle,棕腹隼雕,cedict
rufous-bellied niltava,棕腹仙鹟,cedict
rufous-bellied woodpecker,棕腹啄木鸟,cedict
rufous-breasted accentor,棕胸岩鹨,cedict
rufous-breasted bush robin,棕腹林鸲,cedict
rufous-capped babbler,红头穗鹛,cedict
rufous-cheeked laughingthrush,栗颊噪鹛,cedict
rufous-chinned laughingthrush,棕颏噪鹛,cedict
rufous-crowned laughingthrush,台湾白喉噪鹛,cedict
rufous-faced warbler,棕脸鹟莺,cedict
rufous-fronted babbler,红额穗鹛,cedict
rufous-fronted bushtit,棕额长尾山雀,cedict
rufous-gorgeted flycatcher,橙胸姬鹟,cedict
rufous-headed parrotbill,红头鸦雀,cedict
rufous-headed robin,棕头歌鸲,cedict
rufous-naped tit,棕枕山雀,cedict
rufous-necked hornbill,棕颈犀鸟,cedict
rufous-necked laughingthrush,栗颈噪鹛,cedict
rufous-necked snowfinch,棕颈雪雀,cedict
rufous-tailed babbler,宝兴鹛雀,cedict
rufous-tailed robin,红尾歌鸲,cedict
rufous-tailed scrub robin,棕薮鸲,cedict
rufous-throated fulvetta,棕喉雀鹛,cedict
rufous-throated partridge,红喉山鹧鸪,cedict
rufous-throated wren-babbler,短尾鹩鹛,cedict
rufous-vented laughingthrush,棕臀噪鹛,cedict
rufous-vented tit,黑冠山雀,cedict
rufous-vented yuhina,棕肛凤鹛,cedict
rufous-winged buzzard,棕翅𫛭鹰,cedict
rufous-winged fulvetta,栗头雀鹛,cedict
rugby school in england,拉格比,cedict
rugosa rose,玫瑰,cedict
ruined at a stroke,一蹶不振,cedict
ruined in a short time,毁于一旦,cedict
ruined wall,垝垣,cedict
ruined walls,残垣,cedict
rule by might,霸道,cedict
rule by setting virtuous example,德治,cedict
rule by virtue,德治,cedict
rule no longer in force,虚文,cedict
rule of law,法治,cedict
rule of man,人治,cedict
rule of thumb,概测法,cedict
ruler and compass,尺规,cedict
ruler and compass construction,尺规作图,cedict
rules and discipline,法纪,cedict
rules and regulations,绳墨,cedict
rules for political staff,政纪,cedict
rules of the game,玩法,cedict
rules of the road,交通规则,cedict
ruling class,领导层,cedict
ruling party,执政党,cedict
rumbling noise,辘辘,cedict
rumors fly,多嘴,cedict
run around parent's knees,绕膝,cedict
run by the local people,民办,cedict
run by the state,公营,cedict
run off,打跑,cedict
run-time error,运行时错误,cedict
runaway carriage,惊车,cedict
rung of a ladder,梯级,cedict
runner bean,四季豆,cedict
running around in circles,团团转,cedict
running as fast as flying,健步如飞,cedict
running between bases,跑垒,cedict
running dog,走狗,cedict
running dogs,鹰犬,cedict
running in opposite direction,对开,cedict
running knot,活套,cedict
running machine,跑步机,cedict
running mate,竞选副手,cedict
running mode,运行方式,cedict
running neck and neck,连镳并轸,cedict
running of armed forces,治军,cedict
running shoes,跑鞋,cedict
running style,跑法,cedict
running water,流水,cedict
rupture strength,断裂强度,cedict
rural area,农村,cedict
rural folk,乡下人,cedict
rural migrant without definite prospects,盲流,cedict
rural school,村塾,cedict
rush basket,蒲草箱,cedict
rush hour,高峰期,cedict
rush repairs,抢修,cedict
rush through one's work,开快车,cedict
rushed and muddled,忙乱,cedict
rushed work leads to errors,忙中有失,cedict
russet bush warbler,高山短翅莺,cedict
russet sparrow,山麻雀,cedict
russian aircraft corporation,米格,cedict
russian army,俄军,cedict
russian empire,俄罗斯帝国,cedict
russian ethnic minority in china,俄罗斯族,cedict
russian language,俄文,cedict
russian roulette,俄罗斯轮盘,cedict
rust belt,铁锈带,cedict
rust stain,锈迹,cedict
rust-resistant iron,不锈铁,cedict
rustic bunting,田鹀,cedict
rustic charm,野趣,cedict
rustle of skirts,嗖嗖,cedict
rustling sound,悉悉索索,cedict
rusty laughingthrush,台湾棕噪鹛,cedict
rusty spot,锈斑,cedict
rusty-bellied shortwing,锈腹短翅鸫,cedict
rusty-capped fulvetta,褐胁雀鹛,cedict
rusty-cheeked scimitar babbler,锈脸钩嘴鹛,cedict
rusty-flanked treecreeper,锈红腹旋木雀,cedict
rusty-fronted barwing,锈额斑翅鹛,cedict
rusty-naped pitta,栗头八色鸫,cedict
rutgers university,罗格斯大学,cedict
ruthless and lacking in conscience,黑心,cedict
ryder cup,莱德杯,cedict
ryukyu islands,南西诸岛,cedict
ryukyu robin,琉球歌鸲,cedict
ryukyu scops owl,琉球角鸮,cedict
saber-toothed tiger,剑齿虎,cedict
sabine's gull,叉尾鸥,cedict
sacking the worst-performing employee,末位淘汰,cedict
sacred heart,圣心,cedict
sacred mountain,神山,cedict
sacred place,圣地,cedict
sacred wine,御酒,cedict
sacred writing,圣典,cedict
sacrifice hit,牺牲打,cedict
sacrifice oneself for one's country,忠烈,cedict
sacrificed piece,弃子,cedict
sacrificial animal,太牢,cedict
sacrificial ceremony,祭仪,cedict
sacrificial knife and altar,刀俎,cedict
sacrificial objects,祀物,cedict
sacrificial offering,祭仪,cedict
sacrificial offerings,祭礼,cedict
sacrificial vessel,彝器,cedict
sacrificial vessels,祭器,cedict
sacrificial victim,牺牲品,cedict
sad and beautiful,凄美,cedict
sad beyond words,缠绵悱恻,cedict
sad feeling at separation,离情别绪,cedict
sad goodbye,伤别,cedict
saddam hussein,萨达姆·侯赛因,cedict
saddle horse,坐骑,cedict
sadiq or sadik,萨迪克,cedict
sadr city,萨德尔市,cedict
safari park,野生动植物园,cedict
safe and healthy,康泰,cedict
safe and secure,安全无虞,cedict
safe and sound,安全无事,cedict
safe delivery,顺产,cedict
safe keeping,收存,cedict
safe period,安全期,cedict
safe word,安全词,cedict
safety airbag,安全气囊,cedict
safety and danger,安危,cedict
safety belt,安全带,cedict
safety goggles,安全眼罩,cedict
safety issue,安全问题,cedict
safety lamp,安全灯,cedict
safety net,安全网,cedict
safety pin,别针,cedict
safety shorts,安全裤,cedict
safety valve,安全阀,cedict
sagacious prime minister,贤相,cedict
sage doctor,圣手,cedict
sage hero,圣雄,cedict
sage kings,贤王,cedict
sage ruler,圣王,cedict
sage's instructions,圣训,cedict
sagging pants,吊裆裤,cedict
sagittarius spiral arm,人马臂,cedict
sago palm,苏铁,cedict
sago pudding,西米露,cedict
sahara desert,撒哈拉沙漠,cedict
said or sayed,赛义迪,cedict
sailing boat,风帆,cedict
sailor's striped shirt,海魂衫,cedict
saint catherine,圣凯瑟琳,cedict
saint george's mushroom,口蘑,cedict
saint helena,圣赫勒拿岛,cedict
saint james,雅各伯,cedict
saint john,圣约翰,cedict
saint joseph,圣约瑟夫,cedict
saint kitts and nevis,圣基茨和尼维斯,cedict
saint lucia,圣卢西亚,cedict
saint pancras,圣潘克勒斯站,cedict
saint patrick,圣帕特里克,cedict
saint peter,圣彼得,cedict
saint petersburg,圣彼得堡,cedict
saint vincent and the grenadines,圣文森及格瑞那丁,cedict
saint-pierre and miquelon,圣皮埃尔和密克隆,cedict
saka language,塞语,cedict
saker falcon,猎隼,cedict
sakhalin leaf warbler,库页岛柳莺,cedict
sakyamuni buddha,释迦佛,cedict
salad dressing,沙拉酱,cedict
salad oil,色拉油,cedict
salad spinner,沙拉甩干器,cedict
salar ethnic group,撒拉,cedict
salaried class,工薪族,cedict
salaries of government officials,官俸,cedict
salary cap,工资帽,cedict
salary differential,级差,cedict
salary floor,底薪,cedict
salary of a private tutor,束脩,cedict
salary of a public official,食俸,cedict
salary of an official,食禄,cedict
salary raise,涨钱,cedict
sale of second-hand goods,旧货市场,cedict
sale on consignment,寄售,cedict
sales agency,承销商,cedict
sales agent,承销人,cedict
sales bonus,返利,cedict
sales counter,拦柜,cedict
sales event,销路,cedict
sales exhibition,展销,cedict
sales figure,销售额,cedict
sales ledger,销货帐,cedict
sales pitch,兜揽,cedict
sales representative,推销员,cedict
sales staff,导购,cedict
sales tax,消费税,cedict
sales volume,销量,cedict
salicylic acid,水杨酸,cedict
saline and alkaline,盐碱,cedict
saline soil,盐碱地,cedict
salisbury plain,索尔兹伯里平原,cedict
salisbury stone circle,索尔兹伯里石环,cedict
saliva gland in cheek,腮腺,cedict
saliva gland under tongue,舌下腺,cedict
salivary gland,唾液腺,cedict
salmonella typhimurium,伤寒沙门氏菌,cedict
salt content,盐分,cedict
salt flats,盐滩,cedict
salt from a salt lake,池盐,cedict
salt lake,咸水湖,cedict
salt pork,腌肉,cedict
salt water,咸水,cedict
salt-affected land,斥卤,cedict
salt-cured meat,咸肉,cedict
salt-pickled sun-dried cabbage,梅干菜,cedict
salted duck egg,咸鸭蛋,cedict
salted egg yolk sauce,金沙,cedict
salted fish,咸鱼,cedict
salted vegetables,咸菜,cedict
saltwater fish,海水鱼,cedict
saltwater intrusion,海水倒灌,cedict
salty and bitter,咸涩,cedict
salty and unsalty,咸淡,cedict
salvation army,救世军,cedict
same feeling,同感,cedict
same nature,同性,cedict
same old story,老套,cedict
same place as before,老地方,cedict
same principle,同道,cedict
same tone,同调,cedict
same trade or business,同业,cedict
same type,一类,cedict
same-sex marriage,同婚,cedict
sample chapter,样章,cedict
sample photograph,样张,cedict
sampler platter,拼盘,cedict
sampling rate,采样率,cedict
samsung group,三星集团,cedict
san francisco,三藩市,cedict
san jacinto,圣哈辛托,cedict
san jose,圣何塞,cedict
san marino,圣马利诺,cedict
san'ao decoction,三拗汤,cedict
sanctimonious bitch,圣母婊,cedict
sanctimonious person,正义魔人,cedict
sand and dust storm,沙尘暴,cedict
sand and stone,砂石,cedict
sand and stones,沙石,cedict
sand blown by wind,风沙,cedict
sand break,防风固沙,cedict
sand content,含沙量,cedict
sand dune,沙丘,cedict
sand filter,沙漏,cedict
sand martin,崖沙燕,cedict
sand picture,沙画,cedict
sand quarry,采砂场,cedict
sand sculpture,沙雕,cedict
sand table,沙盘,cedict
sand tray,沙盘,cedict
sand vein,虾线,cedict
sand wedge,沙坑杆,cedict
sandfly fever,白蛉热,cedict
sandhill crane,沙丘鹤,cedict
sanding disk,研磨盘,cedict
sandinista national liberation front,桑地诺民族解放阵线,cedict
sandwich cookie,夹心饼干,cedict
sandwich generation,上有老下有小,cedict
sandwich tern,白嘴端凤头燕鸥,cedict
sandy beach or river bank,沙地,cedict
sandy hill,沙丘,cedict
sandy land,沙地,cedict
sandy shore,沙滩,cedict
sandy soil,沙土,cedict
sanitary equipment,卫生设备,cedict
sanitary napkin,卫生棉,cedict
sanitary sewer system,卫生下水道,cedict
sanitary towel,姨妈巾,cedict
sanitation worker,环卫工人,cedict
sankei shimbun,产经新闻,cedict
sans serif,平滑字,cedict
sanskrit-chinese transliteration,梵汉对音,cedict
santa cruz,圣克鲁斯,cedict
santa fe,圣大非,cedict
santa hat,圣诞帽,cedict
sapium sebiferum,乌桕,cedict
sapphire blue,宝蓝,cedict
sapphire flycatcher,玉头姬鹟,cedict
sara or sarah,莎拉,cedict
saracen empire,萨拉森帝国,cedict
sarcandra glabra,草珊瑚,cedict
sarcastic comments,冷言冷语,cedict
sarcastic remark,俏皮话,cedict
sarcastic talk,说风凉话,cedict
sarus crane,赤颈鹤,cedict
sassanid empire of persia,萨桑王朝,cedict
satan or shaitan,撒旦,cedict
satay sauce,沙爹酱,cedict
satellite navigation,卫星导航,cedict
satellite navigation system,卫星导航系统,cedict
satellite photo,卫星图,cedict
satellite television show,上星剧,cedict
satellite tv,卫星电视,cedict
satin weave,缎纹织,cedict
satirical verse,反诗,cedict
satisfied with one's sex life,性福,cedict
satisfied with oneself,自足,cedict
satisfied with what one has,知足常乐,cedict
saturated fat,饱和脂肪,cedict
saturated fatty acid,饱和脂肪酸,cedict
satyasiddhi school of buddhism,成实宗,cedict
satyr tragopan,红胸角雉,cedict
saucepan lid,锅盖,cedict
saudi arabia,沙乌地阿拉伯,cedict
saudi arabian person,沙特阿拉伯人,cedict
saunders's gull,黑嘴鸥,cedict
sauropus spatulifolius beille,龙利叶,cedict
saury fish,针鱼,cedict
sausage casing,肠衣,cedict
sausage with a starchy filling,灌肠,cedict
saussurea costus,木香,cedict
saussurea involucrata,雪莲,cedict
sauvignon blanc,长相思,cedict
savage act,暴行,cedict
savanna nightjar,林夜鹰,cedict
savannah monitor,草原巨蜥,cedict
saved data,存档,cedict
savi's warbler,鸲蝗莺,cedict
saving private ryan,拯救大兵瑞恩,cedict
savings book,存簿,cedict
savings deposits and loans,存贷款,cedict
savings rate,储蓄率,cedict
savory fried fava beans,兰花豆,cedict
saw blade,锯片,cedict
saw palmetto,锯棕榈,cedict
sawtooth oak,麻栎,cedict
sawtooth shape,锯齿形,cedict
saxaul sparrow,黑顶麻雀,cedict
say no more,别提了,cedict
saying everything,尽言,cedict
sayram lake in xinjiang,赛里木湖,cedict
sb's attention or notice,耳目,cedict
sb's elegant monicker,雅号,cedict
sb's father,太爷,cedict
sb's financial means,手下,cedict
sb's late father,先人,cedict
sb's legacy,留遗,cedict
sb's original handwriting or painting,手迹,cedict
sb's plaything,玩偶,cedict
sb's presence,跟前,cedict
scalar product,数量积,cedict
scalar quantity,数量,cedict
scalene triangle,不等边三角形,cedict
scales fall from the eyes,觉醒,cedict
scallion pancake,葱油饼,cedict
scalped tickets,黄牛票,cedict
scaly ant-eater,石鲮鱼,cedict
scaly laughingthrush,纯色噪鹛,cedict
scaly thrush,虎斑地鸫,cedict
scaly wing,鳞翅,cedict
scaly-bellied woodpecker,鳞腹绿啄木鸟,cedict
scaly-breasted munia,斑文鸟,cedict
scaly-sided merganser,中华秋沙鸭,cedict
scam girl,吧托,cedict
scandalous scene,狂态,cedict
scandinavian airlines,北欧航空公司,cedict
scant knowledge,浅学,cedict
scapular region,肩胛,cedict
scar from a knife wound,刀疤,cedict
scarab beetle,金龟,cedict
scarborough shoal,斯卡伯勒礁,cedict
scarce water,枯水,cedict
scarcely realized,殊不知,cedict
scared out of one's skin,吓一跳,cedict
scared out of one's wits,丧胆,cedict
scared witless,屁滚尿流,cedict
scarlet fever,喉痧,cedict
scarlet finch,血雀,cedict
scarlet kafir lily,君子兰,cedict
scarlet minivet,赤红山椒鸟,cedict
scarlet-backed flowerpecker,朱背啄花鸟,cedict
scarlet-faced liocichla,红翅薮鹛,cedict
scarred skin,疮痕,cedict
scary to think about,细思极恐,cedict
scat singing,拟声唱法,cedict
scatter diagram,分布图,cedict
scatter plot,散点图,cedict
scatter sowing,撒播,cedict
scattered about,狼藉,cedict
scattered and fragmentary,零碎,cedict
scattered and smashed,支离破碎,cedict
scattered bandits,散匪,cedict
scattered essays,杂说,cedict
scattered fragments,七零八碎,cedict
scattered jottings,杂记,cedict
scattered sand,散沙,cedict
scattered survivors,残部,cedict
scattering of bundle,散束,cedict
scene of accident,灾场,cedict
scene of dilapidation,颓景,cedict
scene of the crime,犯罪现场,cedict
scene which recalls past memories,触景生情,cedict
scenery in the distance,远景,cedict
scenery of exceptional charm,别有洞天,cedict
scenes of springtime,春光,cedict
scenic area,景区,cedict
scenic spot,名胜,cedict
scented tea,花茶,cedict
scheduled at,定于,cedict
schematic diagram,示意图,cedict
scheme theory,概型理论,cedict
schizoaffective disorder,分裂情感性障碍,cedict
schizoid personality disorder,类精神分裂型人格违常,cedict
schmidt or schmitt,施密特,cedict
